Serving /data/data/com.termux/files/home/gaia-skill-tree/docs/ at http://localhost:8080/  (no-cache mode)
[127.0.0.1] "GET / HTTP/1.1" 200 -
[127.0.0.1] "GET /css/styles.css?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /css/ascension-overdrive-v4.css?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /css/plaque.css?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /css/alpha-rail.css?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /css/world-tree-hero.css?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /js/icons.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /js/rank-badge.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /js/tm-config.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /css/tokens.css HTTP/1.1" 200 -
[127.0.0.1] "GET /js/skill-semantics.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /js/plaque.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /assets/world-tree/yggdrasil-backdrop-941.webp HTTP/1.1" 200 -
[127.0.0.1] "GET /js/mounts.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /js/site-nav.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /assets/origin-wreath-gold.svg HTTP/1.1" 200 -
[127.0.0.1] "GET /trust/leaderboard/leaderboard.css?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /trust/leaderboard/leaderboard.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /assets/ascension-overdrive/aov4-astrolabe-substrate-mobile.webp HTTP/1.1" 200 -
[127.0.0.1] "GET /js/site-footer.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /js/atlas-helpers.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /js/world-tree-layout.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /js/skill-graph.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /js/hud-toggle.js?v=7.1.35 HTTP/1.1" 200 -
[127.0.0.1] "GET /js/scroll-reveal.js?v=7.1.35 HTTP/1.1" 200 -
